"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 9, Providence County, Rhode Island","","1224","87","","96","","149","","70","","232","","84","","60","","","","","717","163","0","26079","44","007","000900"
"Census Tract 501.03, Washington County, Rhode Island","","2804","261","","399","","436","","228","","275","","128","","75","","","","","2687","63","0","51690","44","009","050103"
"Census Tract 504.02, Washington County, Rhode Island","","1340","206","","308","","217","","61","","89","","55","","10","","","","","1326","7","7","82000","44","009","050402"
"Census Tract 505, Washington County, Rhode Island","","3271","572","","540","","271","","184","","185","","0","","0","","","","","3196","49","0","81971","44","009","050500"
"Census Tract 415, Washington County, Rhode Island","","331","77","","57","","37","","10","","49","","0","","2","","","","","286","7","0","84750","44","009","041500"
"Census Tract 501.04, Washington County, Rhode Island","","1790","240","","374","","239","","120","","108","","47","","0","","","","","1711","41","10","94914","44","009","050104"
"Census Tract 503.01, Washington County, Rhode Island","","2262","239","","327","","336","","227","","102","","55","","15","","","","","2242","20","0","83616","44","009","050301"
"Census Tract 508.02, Washington County, Rhode Island","","1994","180","","139","","301","","88","","219","","46","","16","","","","","1976","0","0","64404","44","009","050802"
"Census Tract 515.04, Washington County, Rhode Island","","1720","205","","90","","340","","185","","222","","6","","80","","","","","1700","20","0","51422","44","009","051504"
"Census Tract 504.01, Washington County, Rhode Island","","2257","399","","387","","225","","200","","99","","27","","12","","","","","2194","46","17","115625","44","009","050401"
